                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    137,                0.52201,                0.35662,                0.89489,                0.95913,                0.97917,                0.99346,                0.90939,                0.43156,                0.31121,                0.81025,              0.0014654,              0.0014654,              0.0014654
                    138,                0.50324,                0.34008,                0.89592,                0.97543,                0.95833,                0.99022,                0.90973,                0.43824,                0.31133,                0.80302,              0.0014614,              0.0014614,              0.0014614
                    139,                0.50906,                0.33616,                0.89758,                0.95547,                0.97917,                 0.9875,                0.91307,                0.40952,                0.32193,                 0.8015,              0.0014575,              0.0014575,              0.0014575
                    140,                0.50395,                 0.3426,                0.89677,                0.97193,                0.97917,                0.99341,                0.90408,                 0.4591,                0.30971,                 0.8133,              0.0014535,              0.0014535,              0.0014535
                    141,                0.49933,                0.33952,                0.88517,                0.97888,                0.96564,                0.99341,                0.91933,                0.44409,                0.30853,                0.81567,              0.0014496,              0.0014496,              0.0014496
                    142,                0.50615,                0.35103,                0.89181,                0.95999,                0.99979,                 0.9934,                0.90677,                0.43325,                0.31256,                0.80402,              0.0014456,              0.0014456,              0.0014456
                    143,                 0.4862,                0.33389,                0.88403,                 0.9901,                      1,                  0.995,                0.91277,                0.42893,                0.30645,                0.80451,              0.0014416,              0.0014416,              0.0014416
                    144,                0.49017,                0.32811,                0.87382,                0.93823,                0.97917,                0.98737,                0.90202,                  0.443,                0.33563,                0.80615,              0.0014377,              0.0014377,              0.0014377
                    145,                0.50333,                 0.3416,                0.88985,                0.95897,                      1,                0.99127,                0.91004,                0.42348,                0.31139,                 0.8049,              0.0014337,              0.0014337,              0.0014337
                    146,                0.49799,                0.34838,                0.88455,                0.96892,                0.95833,                0.99226,                0.90347,                0.43821,                 0.3143,                0.80882,              0.0014298,              0.0014298,              0.0014298
                    147,                0.51282,                0.35761,                0.88903,                0.97805,                0.97917,                0.99341,                 0.9095,                0.42965,                0.29155,                 0.8106,              0.0014258,              0.0014258,              0.0014258
                    148,                0.49807,                0.35138,                 0.8879,                0.95817,                0.97917,                 0.9923,                0.91582,                0.42997,                 0.3021,                0.80527,              0.0014218,              0.0014218,              0.0014218
                    149,                 0.4881,                 0.3429,                0.88365,                0.97915,                0.97837,                0.99299,                0.92562,                0.43546,                0.29217,                0.80195,              0.0014179,              0.0014179,              0.0014179
                    150,                0.48985,                0.34329,                0.88792,                0.99722,                0.97917,                0.99382,                0.92114,                 0.4124,                0.27555,                0.79913,              0.0014139,              0.0014139,              0.0014139
                    151,                0.51367,                0.34826,                0.90394,                0.98145,                0.97917,                0.99459,                 0.9091,                  0.417,                0.28342,                0.80146,                0.00141,                0.00141,                0.00141
                    152,                0.48818,                0.32943,                0.87307,                0.97956,                0.99864,                0.99378,                0.91859,                0.43173,                0.27463,                0.80712,               0.001406,               0.001406,               0.001406
                    153,                0.50513,                 0.3406,                0.90683,                0.99809,                      1,                  0.995,                0.92467,                 0.4445,                 0.2674,                0.80789,               0.001402,               0.001402,               0.001402
                    154,                0.47962,                0.33204,                0.87622,                0.97664,                      1,                0.99459,                0.87779,                0.45111,                0.29861,                0.81138,              0.0013981,              0.0013981,              0.0013981
                    155,                0.48969,                0.33653,                0.87478,                0.98018,                0.97917,                0.99382,                0.91364,                 0.4236,                0.27976,                0.80973,              0.0013941,              0.0013941,              0.0013941
                    156,                0.48687,                0.32919,                0.88017,                0.99239,                      1,                  0.995,                0.92626,                0.42533,                0.30334,                0.80472,              0.0013902,              0.0013902,              0.0013902
                    157,                 0.4838,                0.32459,                0.88721,                      1,                0.99277,                  0.995,                0.90052,                0.44705,                0.30326,                0.80829,              0.0013862,              0.0013862,              0.0013862
